OBJEKTART,NAME,KENNZAHL,Value1
Bundesland,Wien,"9",
Verwaltungsbezirk,Bludenz,"801",
Verwaltungsbezirk,Bregenz,"802",
Verwaltungsbezirk,Feldkirch,"804",
Verwaltungsbezirk,Dornbirn,"803",
Verwaltungsbezirk,Innsbruck-Land,"703",
Verwaltungsbezirk,Schwaz,"709",
Verwaltungsbezirk,Imst,"702",
Verwaltungsbezirk,Landeck,"706",
Verwaltungsbezirk,Reutte,"708",
Verwaltungsbezirk,Kitzbühel,"704",
Verwaltungsbezirk,Kufstein,"705",
Verwaltungsbezirk,Innsbruck-Stadt,"701",
Verwaltungsbezirk,Lienz,"707",
Verwaltungsbezirk,Zell am See,"506",
Verwaltungsbezirk,Sankt Johann im Pongau,"504",
Verwaltungsbezirk,Tamsweg,"505",
Verwaltungsbezirk,Salzburg-Umgebung,"503",
Verwaltungsbezirk,Hallein,"502",
Verwaltungsbezirk,Salzburg,"501",
Verwaltungsbezirk,Spittal an der Drau,"206",
Verwaltungsbezirk,Sankt Veit an der Glan,"205",
Verwaltungsbezirk,Villach Land,"207",
Verwaltungsbezirk,Wolfsberg,"209",
Verwaltungsbezirk,Völkermarkt,"208",
Verwaltungsbezirk,Hermagor,"203",
Verwaltungsbezirk,Klagenfurt Land,"204",
Verwaltungsbezirk,Feldkirchen,"210",
Verwaltungsbezirk,Villach Stadt,"202",
Verwaltungsbezirk,Klagenfurt Stadt,"201",
Verwaltungsbezirk,Liezen,"612",
Verwaltungsbezirk,Bruck-Mürzzuschlag,"621",
Verwaltungsbezirk,Murtal,"620",
Verwaltungsbezirk,MURAU,"614",
Verwaltungsbezirk,Hartberg-Fürstenfeld,"622",
Verwaltungsbezirk,Graz-Umgebung,"606",
Verwaltungsbezirk,Weiz,"617",
Verwaltungsbezirk,Leoben,"611",
Verwaltungsbezirk,Südoststeiermark,"623",
Verwaltungsbezirk,Deutschlandsberg,"603",
Verwaltungsbezirk,Leibnitz,"610",
Verwaltungsbezirk,Voitsberg,"616",
Verwaltungsbezirk,Graz,"601",
Verwaltungsbezirk,Neusiedl am See,"107",
Verwaltungsbezirk,Oberwart,"109",
Verwaltungsbezirk,Oberpullendorf,"108",
Verwaltungsbezirk,Eisenstadt-Umgebung,"103",
Verwaltungsbezirk,Güssing,"104",
Verwaltungsbezirk,Jennersdorf,"105",
Verwaltungsbezirk,Mattersburg,"106",
Verwaltungsbezirk,Eisenstadt,"101",
Verwaltungsbezirk,Rust,"102",
Verwaltungsbezirk,Zwettl,"325",
Verwaltungsbezirk,Mistelbach,"316",
Verwaltungsbezirk,Gänserndorf,"308",
Verwaltungsbezirk,Sankt Pölten,"319",
Verwaltungsbezirk,Neunkirchen,"318",
Verwaltungsbezirk,Scheibbs,"320",
Verwaltungsbezirk,Melk,"315",
Verwaltungsbezirk,Hollabrunn,"310",
Verwaltungsbezirk,Lilienfeld,"314",
Verwaltungsbezirk,Krems,"313",
Verwaltungsbezirk,Amstetten,"305",
Verwaltungsbezirk,Gmünd,"309",
Verwaltungsbezirk,Horn,"311",
Verwaltungsbezirk,Baden,"306",
Verwaltungsbezirk,Waidhofen an der Thaya,"322",
Verwaltungsbezirk,Tulln,"321",
Verwaltungsbezirk,Korneuburg,"312",
Verwaltungsbezirk,Wiener Neustadt,"323",
Verwaltungsbezirk,Bruck an der Leitha,"307",
Verwaltungsbezirk,Mödling,"317",
Verwaltungsbezirk,Waidhofen an der Ybbs,"303",
Verwaltungsbezirk,Sankt Pölten,"302",
Verwaltungsbezirk,Wiener Neustadt,"304",
Verwaltungsbezirk,Krems an der Donau,"301",
Verwaltungsbezirk,Gmunden,"407",
Verwaltungsbezirk,Kirchdorf an der Krems,"409",
Verwaltungsbezirk,Vöcklabruck,"417",
Verwaltungsbezirk,Braunau am Inn,"404",
Verwaltungsbezirk,Freistadt,"406",
Verwaltungsbezirk,Steyr-Land,"415",
Verwaltungsbezirk,Rohrbach,"413",
Verwaltungsbezirk,Urfahr-Umgebung,"416",
Verwaltungsbezirk,Schärding,"414",
Verwaltungsbezirk,Ried im Innkreis,"412",
Verwaltungsbezirk,Grieskirchen,"408",
Verwaltungsbezirk,Wels-Land,"418",
Verwaltungsbezirk,Linz-Land,"410",
Verwaltungsbezirk,Eferding,"405",
Verwaltungsbezirk,Linz,"401",
Verwaltungsbezirk,Wels,"403",
Verwaltungsbezirk,Steyr,"402",
Verwaltungsbezirk,Perg,"411",
